"date","new_cases_per_100k","group"
20-08-03,18.4095528835595,"General Population"
20-08-04,17.9929146262064,"General Population"
20-08-05,17.4317390605205,"General Population"
20-08-06,16.9348893429875,"General Population"
20-08-07,16.5906720675873,"General Population"
20-08-08,16.5218634302871,"General Population"
20-08-09,16.4215447022813,"General Population"
20-08-10,16.4077046348168,"General Population"
20-08-11,16.3993483676683,"General Population"
20-08-12,16.4238078579674,"General Population"
20-08-13,16.2654740043947,"General Population"
20-08-14,16.1926613224192,"General Population"
20-08-15,15.9972030111508,"General Population"
20-08-16,15.7210544952304,"General Population"
20-08-17,15.3007168487751,"General Population"
20-08-18,14.8603154567187,"General Population"
20-08-19,14.3698635062212,"General Population"
20-08-20,14.020292997179,"General Population"
20-08-21,13.5654857487365,"General Population"
20-08-22,13.3166256677227,"General Population"
20-08-23,12.8899772986814,"General Population"
20-08-24,13.0149731281098,"General Population"
20-08-25,12.83835994015,"General Population"
20-08-26,12.9151766668008,"General Population"
20-08-27,12.8968538101889,"General Population"
20-08-28,12.7893103928778,"General Population"
20-08-29,12.7722496807831,"General Population"
20-08-30,12.8206463946843,"General Population"
20-08-31,12.6491688292429,"General Population"
